"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"2.1.1 Vernieling aan auto";"2016";"Nederland";43910
"2.1.1 Vernieling aan auto";"2017";"Nederland";37760
"2.1.1 Vernieling aan auto";"2018*";"Nederland";32790
"2.1.1 Vernieling aan auto";"2019*";"Nederland";34340
"2.1.2 Vernieling aan openbaar gebouw";"2010";"Nederland";11790
"2.1.2 Vernieling aan openbaar gebouw";"2011";"Nederland";8255
"2.1.2 Vernieling aan openbaar gebouw";"2012";"Nederland";2285
"2.1.2 Vernieling aan openbaar gebouw";"2013";"Nederland";2015
"2.1.2 Vernieling aan openbaar gebouw";"2014";"Nederland";1775
"2.1.2 Vernieling aan openbaar gebouw";"2015";"Nederland";1455
"2.1.2 Vernieling aan openbaar gebouw";"2016";"Nederland";1365
"2.1.2 Vernieling aan openbaar gebouw";"2017";"Nederland";1135
"2.1.2 Vernieling aan openbaar gebouw";"2018*";"Nederland";920
"2.1.2 Vernieling aan openbaar gebouw";"2019*";"Nederland";880
"2.1.3 Vernieling middel openb.vervoer";"2010";"Nederland";2000
"2.1.3 Vernieling middel openb.vervoer";"2011";"Nederland";2305
"2.1.3 Vernieling middel openb.vervoer";"2012";"Nederland";2095
"2.1.3 Vernieling middel openb.vervoer";"2013";"Nederland";1040
"2.1.3 Vernieling middel openb.vervoer";"2014";"Nederland";925
"2.1.3 Vernieling middel openb.vervoer";"2015";"Nederland";815
"2.1.3 Vernieling middel openb.vervoer";"2016";"Nederland";1100
"2.1.3 Vernieling middel openb.vervoer";"2017";"Nederland";1380
"2.1.3 Vernieling middel openb.vervoer";"2018*";"Nederland";850
"2.1.3 Vernieling middel openb.vervoer";"2019*";"Nederland";860
"2.1.5 Vernieling, beschadiging (overig)";"2010";"Nederland";67415
"2.1.5 Vernieling, beschadiging (overig)";"2011";"Nederland";70265
"2.1.5 Vernieling, beschadiging (overig)";"2012";"Nederland";68690
"2.1.5 Vernieling, beschadiging (overig)";"2013";"Nederland";60255
"2.1.5 Vernieling, beschadiging (overig)";"2014";"Nederland";57080
"2.1.5 Vernieling, beschadiging (overig)";"2015";"Nederland";51870
"2.1.5 Vernieling, beschadiging (overig)";"2016";"Nederland";48145
"2.1.5 Vernieling, beschadiging (overig)";"2017";"Nederland";41260
"2.1.5 Vernieling, beschadiging (overig)";"2018*";"Nederland";37560
"2.1.5 Vernieling, beschadiging (overig)";"2019*";"Nederland";40705
"2.2 Openbare orde misdrijf";"2010";"Nederland";21620
"2.2 Openbare orde misdrijf";"2011";"Nederland";20880
"2.2 Openbare orde misdrijf";"2012";"Nederland";17695
"2.2 Openbare orde misdrijf";"2013";"Nederland";13500
"2.2 Openbare orde misdrijf";"2014";"Nederland";15645
"2.2 Openbare orde misdrijf";"2015";"Nederland";11675
"2.2 Openbare orde misdrijf";"2016";"Nederland";11245
"2.2 Openbare orde misdrijf";"2017";"Nederland";11165
"2.2 Openbare orde misdrijf";"2018*";"Nederland";11540
"2.2 Openbare orde misdrijf";"2019*";"Nederland";13990
"2.2.1 Openlijke geweldpleging";"2010";"Nederland";9150
"2.2.1 Openlijke geweldpleging";"2011";"Nederland";8270
"2.2.1 Openlijke geweldpleging";"2012";"Nederland";7150
"2.2.1 Openlijke geweldpleging";"2013";"Nederland";5900
"2.2.1 Openlijke geweldpleging";"2014";"Nederland";5350
"2.2.1 Openlijke geweldpleging";"2015";"Nederland";4845
"2.2.1 Openlijke geweldpleging";"2016";"Nederland";4490
"2.2.1 Openlijke geweldpleging";"2017";"Nederland";4465
"2.2.1 Openlijke geweldpleging";"2018*";"Nederland";4205
"2.2.1 Openlijke geweldpleging";"2019*";"Nederland";4420
"2.2.1.1 Openlijk geweld tegen persoon";"2010";"Nederland";7095
"2.2.1.1 Openlijk geweld tegen persoon";"2011";"Nederland";6500
"2.2.1.1 Openlijk geweld tegen persoon";"2012";"Nederland";5625
"2.2.1.1 Openlijk geweld tegen persoon";"2013";"Nederland";4790
"2.2.1.1 Openlijk geweld tegen persoon";"2014";"Nederland";4315
"2.2.1.1 Openlijk geweld tegen persoon";"2015";"Nederland";3955
"2.2.1.1 Openlijk geweld tegen persoon";"2016";"Nederland";3735
"2.2.1.1 Openlijk geweld tegen persoon";"2017";"Nederland";3820
"2.2.1.1 Openlijk geweld tegen persoon";"2018*";"Nederland";3660
"2.2.1.1 Openlijk geweld tegen persoon";"2019*";"Nederland";3750
"2.2.1.2 Openlijk geweld tegen goed";"2010";"Nederland";2060
"2.2.1.2 Openlijk geweld tegen goed";"2011";"Nederland";1770
"2.2.1.2 Openlijk geweld tegen goed";"2012";"Nederland";1525
"2.2.1.2 Openlijk geweld tegen goed";"2013";"Nederland";1110
"2.2.1.2 Openlijk geweld tegen goed";"2014";"Nederland";1035
