"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"1.4 Heling";"2011";"Enschede";25
"1.4 Heling";"2012";"Enschede";30
"1.4 Heling";"2013";"Enschede";50
"1.4 Heling";"2014";"Enschede";60
"1.4 Heling";"2015";"Enschede";60
"1.4 Heling";"2016";"Enschede";60
"1.4 Heling";"2017";"Enschede";50
"1.4 Heling";"2018*";"Enschede";60
"1.4 Heling";"2019*";"Enschede";75
"1.5 Afpersing en afdreiging";"2010";"Enschede";5
"1.5 Afpersing en afdreiging";"2011";"Enschede";5
"1.5 Afpersing en afdreiging";"2012";"Enschede";5
"1.5 Afpersing en afdreiging";"2013";"Enschede";10
"1.5 Afpersing en afdreiging";"2014";"Enschede";10
"1.5 Afpersing en afdreiging";"2015";"Enschede";10
"1.5 Afpersing en afdreiging";"2016";"Enschede";10
"1.5 Afpersing en afdreiging";"2017";"Enschede";5
"1.5 Afpersing en afdreiging";"2018*";"Enschede";10
"1.5 Afpersing en afdreiging";"2019*";"Enschede";10
"1.6 Bankbreuk";"2010";"Enschede";0
"1.6 Bankbreuk";"2011";"Enschede";5
"1.6 Bankbreuk";"2012";"Enschede";5
"1.6 Bankbreuk";"2013";"Enschede";0
"1.6 Bankbreuk";"2014";"Enschede";0
"1.6 Bankbreuk";"2015";"Enschede";0
"1.6 Bankbreuk";"2016";"Enschede";0
"1.6 Bankbreuk";"2017";"Enschede";0
"1.6 Bankbreuk";"2018*";"Enschede";0
"1.6 Bankbreuk";"2019*";"Enschede";0
"1.7 Witwassen";"2010";"Enschede";0
"1.7 Witwassen";"2011";"Enschede";0
"1.7 Witwassen";"2012";"Enschede";0
"1.7 Witwassen";"2013";"Enschede";0
"1.7 Witwassen";"2014";"Enschede";0
"1.7 Witwassen";"2015";"Enschede";5
"1.7 Witwassen";"2016";"Enschede";0
"1.7 Witwassen";"2017";"Enschede";5
"1.7 Witwassen";"2018*";"Enschede";5
"1.7 Witwassen";"2019*";"Enschede";5
"1.8 Vermogensmisdrijf (overig)";"2010";"Enschede";0
"1.8 Vermogensmisdrijf (overig)";"2011";"Enschede";0
"1.8 Vermogensmisdrijf (overig)";"2012";"Enschede";0
"1.8 Vermogensmisdrijf (overig)";"2013";"Enschede";0
"1.8 Vermogensmisdrijf (overig)";"2014";"Enschede";0
"1.8 Vermogensmisdrijf (overig)";"2015";"Enschede";0
"1.8 Vermogensmisdrijf (overig)";"2016";"Enschede";0
"1.8 Vermogensmisdrijf (overig)";"2017";"Enschede";0
"1.8 Vermogensmisdrijf (overig)";"2018*";"Enschede";0
"1.8 Vermogensmisdrijf (overig)";"2019*";"Enschede";0
"2 Vernielingen, misdr.openb.orde/gezag";"2010";"Enschede";1995
"2 Vernielingen, misdr.openb.orde/gezag";"2011";"Enschede";1960
"2 Vernielingen, misdr.openb.orde/gezag";"2012";"Enschede";1825
"2 Vernielingen, misdr.openb.orde/gezag";"2013";"Enschede";1745
"2 Vernielingen, misdr.openb.orde/gezag";"2014";"Enschede";1520
"2 Vernielingen, misdr.openb.orde/gezag";"2015";"Enschede";1485
"2 Vernielingen, misdr.openb.orde/gezag";"2016";"Enschede";1355
"2 Vernielingen, misdr.openb.orde/gezag";"2017";"Enschede";1130
"2 Vernielingen, misdr.openb.orde/gezag";"2018*";"Enschede";1040
"2 Vernielingen, misdr.openb.orde/gezag";"2019*";"Enschede";1170
"2.1 Vernieling en beschadiging";"2010";"Enschede";1555
"2.1 Vernieling en beschadiging";"2011";"Enschede";1580
"2.1 Vernieling en beschadiging";"2012";"Enschede";1475
"2.1 Vernieling en beschadiging";"2013";"Enschede";1425
"2.1 Vernieling en beschadiging";"2014";"Enschede";1275
"2.1 Vernieling en beschadiging";"2015";"Enschede";1210
"2.1 Vernieling en beschadiging";"2016";"Enschede";1105
"2.1 Vernieling en beschadiging";"2017";"Enschede";875
"2.1 Vernieling en beschadiging";"2018*";"Enschede";810
"2.1 Vernieling en beschadiging";"2019*";"Enschede";910
"2.1.1 Vernieling aan auto";"2010";"Enschede";575
"2.1.1 Vernieling aan auto";"2011";"Enschede";665
"2.1.1 Vernieling aan auto";"2012";"Enschede";570
"2.1.1 Vernieling aan auto";"2013";"Enschede";510
"2.1.1 Vernieling aan auto";"2014";"Enschede";560
"2.1.1 Vernieling aan auto";"2015";"Enschede";505
"2.1.1 Vernieling aan auto";"2016";"Enschede";430
"2.1.1 Vernieling aan auto";"2017";"Enschede";310
"2.1.1 Vernieling aan auto";"2018*";"Enschede";315
"2.1.1 Vernieling aan auto";"2019*";"Enschede";320
"2.1.2 Vernieling aan openbaar gebouw";"2010";"Enschede";230
"2.1.2 Vernieling aan openbaar gebouw";"2011";"Enschede";175
"2.1.2 Vernieling aan openbaar gebouw";"2012";"Enschede";45
"2.1.2 Vernieling aan openbaar gebouw";"2013";"Enschede";60
"2.1.2 Vernieling aan openbaar gebouw";"2014";"Enschede";45
"2.1.2 Vernieling aan openbaar gebouw";"2015";"Enschede";25
"2.1.2 Vernieling aan openbaar gebouw";"2016";"Enschede";25
"2.1.2 Vernieling aan openbaar gebouw";"2017";"Enschede";25
"2.1.2 Vernieling aan openbaar gebouw";"2018*";"Enschede";10
"2.1.2 Vernieling aan openbaar gebouw";"2019*";"Enschede";5
"2.1.3 Vernieling middel openb.vervoer";"2010";"Enschede";5
"2.1.3 Vernieling middel openb.vervoer";"2011";"Enschede";5
"2.1.3 Vernieling middel openb.vervoer";"2012";"Enschede";10
"2.1.3 Vernieling middel openb.vervoer";"2013";"Enschede";5
"2.1.3 Vernieling middel openb.vervoer";"2014";"Enschede";0
"2.1.3 Vernieling middel openb.vervoer";"2015";"Enschede";5
"2.1.3 Vernieling middel openb.vervoer";"2016";"Enschede";5
"2.1.3 Vernieling middel openb.vervoer";"2017";"Enschede";0
"2.1.3 Vernieling middel openb.vervoer";"2018*";"Enschede";0
"2.1.3 Vernieling middel openb.vervoer";"2019*";"Enschede";5
"2.1.5 Vernieling, beschadiging (overig)";"2010";"Enschede";740
"2.1.5 Vernieling, beschadiging (overig)";"2011";"Enschede";735
"2.1.5 Vernieling, beschadiging (overig)";"2012";"Enschede";850
"2.1.5 Vernieling, beschadiging (overig)";"2013";"Enschede";850
