Gebied;Gebiedscode;Gemeente;Jaar;Leeftijdsgroep;Aantal
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2018;40 - 54;397
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2018;40 - 54;475
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2018;40 - 54;295
Buurt 93   Noord Esmarke;BU01530903;Enschede;2018;40 - 54;84
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2018;40 - 54;91
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2018;40 - 54;341
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2018;40 - 54;63
Buurt 97   Boekelerveld;BU01530907;Enschede;2018;40 - 54;235
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2018;40 - 54;59
City;BU01530000;Enschede;2019;40 - 54;413
Lasonder, Zeggelt;BU01530001;Enschede;2019;40 - 54;367
De Laares;BU01530002;Enschede;2019;40 - 54;472
De Bothoven;BU01530003;Enschede;2019;40 - 54;879
Hogeland-Noord;BU01530004;Enschede;2019;40 - 54;507
Getfert;BU01530005;Enschede;2019;40 - 54;686
Veldkamp-Getfert-West;BU01530006;Enschede;2019;40 - 54;331
Horstlanden-Stadsweide;BU01530007;Enschede;2019;40 - 54;507
Boddenkamp;BU01530008;Enschede;2019;40 - 54;182
Velve-Lindenhof;BU01530100;Enschede;2019;40 - 54;931
Wooldrik;BU01530101;Enschede;2019;40 - 54;299
Hogeland-Zuid;BU01530102;Enschede;2019;40 - 54;513
Varvik-Diekman;BU01530103;Enschede;2019;40 - 54;817
Sleutelkamp;BU01530104;Enschede;2019;40 - 54;116
De Leuriks;BU01530106;Enschede;2019;40 - 54;22
Cromhoffsbleek-Kotman;BU01530200;Enschede;2019;40 - 54;286
Boswinkel-De Braker;BU01530201;Enschede;2019;40 - 54;756
Pathmos;BU01530202;Enschede;2019;40 - 54;398
Stevenfenne;BU01530203;Enschede;2019;40 - 54;969
Stadsveld-Zuid;BU01530204;Enschede;2019;40 - 54;362
Elferink-Heuwkamp;BU01530205;Enschede;2019;40 - 54;515
Stadsveld-Noord-Bruggert;BU01530206;Enschede;2019;40 - 54;358
't Zwering;BU01530207;Enschede;2019;40 - 54;492
Ruwenbos;BU01530208;Enschede;2019;40 - 54;419
Tubantia-Toekomst;BU01530300;Enschede;2019;40 - 54;994
Twekkelerveld;BU01530301;Enschede;2019;40 - 54;839
Walhof-Roessingh;BU01530400;Enschede;2019;40 - 54;519
Bolhaar;BU01530401;Enschede;2019;40 - 54;324
Roombeek-Roomveldje;BU01530402;Enschede;2019;40 - 54;970
Mekkelholt;BU01530403;Enschede;2019;40 - 54;471
Deppenbroek;BU01530404;Enschede;2019;40 - 54;919
Voortman-Amelink;BU01530405;Enschede;2019;40 - 54;288
Drienerveld-U.T.;BU01530406;Enschede;2019;40 - 54;57
Schreurserve;BU01530500;Enschede;2019;40 - 54;451
Ribbelt-Ribbelerbrink;BU01530501;Enschede;2019;40 - 54;410
Park Stokhorst;BU01530502;Enschede;2019;40 - 54;693
Stokhorst;BU01530503;Enschede;2019;40 - 54;193
Stroinkslanden Noord-Oost;BU01530600;Enschede;2019;40 - 54;565
Stroinkslanden-Zuid;BU01530601;Enschede;2019;40 - 54;1013
Stroinkslanden Noord-West;BU01530602;Enschede;2019;40 - 54;479
Wesselerbrink Noord-Oost;BU01530603;Enschede;2019;40 - 54;704
Wesselerbrink Zuid-Oost;BU01530604;Enschede;2019;40 - 54;757
Wesselerbrink Zuid-West;BU01530605;Enschede;2019;40 - 54;603
Wesselerbrink Noord-West;BU01530606;Enschede;2019;40 - 54;821
Helmerhoek-Noord;BU01530607;Enschede;2019;40 - 54;803
Helmerhoek-Zuid;BU01530608;Enschede;2019;40 - 54;779
het Brunink;BU01530609;Enschede;2019;40 - 54;112
Industrie- en havengebied;BU01530700;Enschede;2019;40 - 54;42
Marssteden;BU01530701;Enschede;2019;40 - 54;9
Koekoeksbeekhoek;BU01530702;Enschede;2019;40 - 54;5
Kennispark;BU01530703;Enschede;2019;40 - 54;1
Glanerveld;BU01530800;Enschede;2019;40 - 54;257
Bentveld-Bultserve;BU01530801;Enschede;2019;40 - 54;624
Schipholt-Glanermaten;BU01530802;Enschede;2019;40 - 54;580
Eekmaat;BU01530803;Enschede;2019;40 - 54;355
Oikos;BU01530804;Enschede;2019;40 - 54;701
Eilermarke;BU01530805;Enschede;2019;40 - 54;556
De Slank;BU01530806;Enschede;2019;40 - 54;52
Dolphia;BU01530807;Enschede;2019;40 - 54;117
Eekmaat West;BU01530808;Enschede;2019;40 - 54;822
Dorp Lonneker;BU01530900;Enschede;2019;40 - 54;380
Dorp Boekelo;BU01530901;Enschede;2019;40 - 54;478
Buurtschap Lonneker-West;BU01530902;Enschede;2019;40 - 54;322
Noord Esmarke;BU01530903;Enschede;2019;40 - 54;92
Buurtschap Zuid-Esmarke;BU01530904;Enschede;2019;40 - 54;93
Buurtschap Broekheurne;BU01530905;Enschede;2019;40 - 54;343
Buurtschap Usselo;BU01530906;Enschede;2019;40 - 54;73
Boekelerveld;BU01530907;Enschede;2019;40 - 54;219
Buurtschap Twekkelo;BU01530908;Enschede;2019;40 - 54;56
City;BU01530000;Enschede;2020;40 - 54;410
Lasonder, Zeggelt;BU01530001;Enschede;2020;40 - 54;371
De Laares;BU01530002;Enschede;2020;40 - 54;489
De Bothoven;BU01530003;Enschede;2020;40 - 54;857
Hogeland-Noord;BU01530004;Enschede;2020;40 - 54;504
Getfert;BU01530005;Enschede;2020;40 - 54;708
Veldkamp-Getfert-West;BU01530006;Enschede;2020;40 - 54;315
Horstlanden-Stadsweide;BU01530007;Enschede;2020;40 - 54;509
Boddenkamp;BU01530008;Enschede;2020;40 - 54;201
Velve-Lindenhof;BU01530100;Enschede;2020;40 - 54;941
Wooldrik;BU01530101;Enschede;2020;40 - 54;285
Hogeland-Zuid;BU01530102;Enschede;2020;40 - 54;505
Varvik-Diekman;BU01530103;Enschede;2020;40 - 54;804
Sleutelkamp;BU01530104;Enschede;2020;40 - 54;114
't Weldink;BU01530105;Enschede;2020;40 - 54;1
De Leuriks;BU01530106;Enschede;2020;40 - 54;17
Cromhoffsbleek-Kotman;BU01530200;Enschede;2020;40 - 54;275
Boswinkel-De Braker;BU01530201;Enschede;2020;40 - 54;726
Pathmos;BU01530202;Enschede;2020;40 - 54;405
Stevenfenne;BU01530203;Enschede;2020;40 - 54;918
Stadsveld-Zuid;BU01530204;Enschede;2020;40 - 54;359
Elferink-Heuwkamp;BU01530205;Enschede;2020;40 - 54;488
Stadsveld-Noord-Bruggert;BU01530206;Enschede;2020;40 - 54;350
't Zwering;BU01530207;Enschede;2020;40 - 54;452
Ruwenbos;BU01530208;Enschede;2020;40 - 54;401
Tubantia-Toekomst;BU01530300;Enschede;2020;40 - 54;960
Twekkelerveld;BU01530301;Enschede;2020;40 - 54;815
Walhof-Roessingh;BU01530400;Enschede;2020;40 - 54;525
Bolhaar;BU01530401;Enschede;2020;40 - 54;335
Roombeek-Roomveldje;BU01530402;Enschede;2020;40 - 54;959
Mekkelholt;BU01530403;Enschede;2020;40 - 54;480
Deppenbroek;BU01530404;Enschede;2020;40 - 54;927
Voortman-Amelink;BU01530405;Enschede;2020;40 - 54;280
Drienerveld-U.T.;BU01530406;Enschede;2020;40 - 54;66
Schreurserve;BU01530500;Enschede;2020;40 - 54;448
Ribbelt-Ribbelerbrink;BU01530501;Enschede;2020;40 - 54;397
Park Stokhorst;BU01530502;Enschede;2020;40 - 54;667
Stokhorst;BU01530503;Enschede;2020;40 - 54;184
Stroinkslanden Noord-Oost;BU01530600;Enschede;2020;40 - 54;559
Stroinkslanden-Zuid;BU01530601;Enschede;2020;40 - 54;1004
Stroinkslanden Noord-West;BU01530602;Enschede;2020;40 - 54;488
Wesselerbrink Noord-Oost;BU01530603;Enschede;2020;40 - 54;713
Wesselerbrink Zuid-Oost;BU01530604;Enschede;2020;40 - 54;765
Wesselerbrink Zuid-West;BU01530605;Enschede;2020;40 - 54;601
Wesselerbrink Noord-West;BU01530606;Enschede;2020;40 - 54;798
Helmerhoek-Noord;BU01530607;Enschede;2020;40 - 54;765
Helmerhoek-Zuid;BU01530608;Enschede;2020;40 - 54;767
het Brunink;BU01530609;Enschede;2020;40 - 54;115
Industrie- en havengebied;BU01530700;Enschede;2020;40 - 54;39
Marssteden;BU01530701;Enschede;2020;40 - 54;9
Koekoeksbeekhoek;BU01530702;Enschede;2020;40 - 54;6
Kennispark;BU01530703;Enschede;2020;40 - 54;1
Glanerveld;BU01530800;Enschede;2020;40 - 54;253
Bentveld-Bultserve;BU01530801;Enschede;2020;40 - 54;598
Schipholt-Glanermaten;BU01530802;Enschede;2020;40 - 54;558
Eekmaat;BU01530803;Enschede;2020;40 - 54;365
Oikos;BU01530804;Enschede;2020;40 - 54;687
Eilermarke;BU01530805;Enschede;2020;40 - 54;549
De Slank;BU01530806;Enschede;2020;40 - 54;51
Dolphia;BU01530807;Enschede;2020;40 - 54;110
Eekmaat West;BU01530808;Enschede;2020;40 - 54;782
Dorp Lonneker;BU01530900;Enschede;2020;40 - 54;376
Dorp Boekelo;BU01530901;Enschede;2020;40 - 54;478
Buurtschap Lonneker-West;BU01530902;Enschede;2020;40 - 54;358
Noord Esmarke;BU01530903;Enschede;2020;40 - 54;90
Buurtschap Zuid-Esmarke;BU01530904;Enschede;2020;40 - 54;89
Buurtschap Broekheurne;BU01530905;Enschede;2020;40 - 54;354
Buurtschap Usselo;BU01530906;Enschede;2020;40 - 54;73
Boekelerveld;BU01530907;Enschede;2020;40 - 54;208
Buurtschap Twekkelo;BU01530908;Enschede;2020;40 - 54;54
Buurt 00   City;BU01530000;Enschede;2006;55 - 64;195
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2006;55 - 64;174
Buurt 02   De Laares;BU01530002;Enschede;2006;55 - 64;129
Buurt 03   De Bothoven;BU01530003;Enschede;2006;55 - 64;616
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2006;55 - 64;319
Buurt 05   Getfert;BU01530005;Enschede;2006;55 - 64;444
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2006;55 - 64;241
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2006;55 - 64;277
Buurt 08   Boddenkamp;BU01530008;Enschede;2006;55 - 64;42
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2006;55 - 64;459
Buurt 11   Wooldrik;BU01530101;Enschede;2006;55 - 64;209
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2006;55 - 64;374
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2006;55 - 64;405
Buurt 14   Sleutelkamp;BU01530104;Enschede;2006;55 - 64;29
Buurt 15   't Weldink;BU01530105;Enschede;2006;55 - 64;12
Buurt 16   De Leuriks;BU01530106;Enschede;2006;55 - 64;7
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2006;55 - 64;107
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2006;55 - 64;438
Buurt 22   Pathmos;BU01530202;Enschede;2006;55 - 64;189
Buurt 23   Stevenfenne;BU01530203;Enschede;2006;55 - 64;489
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2006;55 - 64;231
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2006;55 - 64;324
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2006;55 - 64;196
Buurt 27   't Zwering;BU01530207;Enschede;2006;55 - 64;217
Buurt 28   Ruwenbos;BU01530208;Enschede;2006;55 - 64;95
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2006;55 - 64;593
Buurt 31   Twekkelerveld;BU01530301;Enschede;2006;55 - 64;372
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2006;55 - 64;249
Buurt 41   Bolhaar;BU01530401;Enschede;2006;55 - 64;244
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2006;55 - 64;305
Buurt 43   Mekkelholt;BU01530403;Enschede;2006;55 - 64;211
Buurt 44   Deppenbroek;BU01530404;Enschede;2006;55 - 64;476
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2006;55 - 64;168
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2006;55 - 64;69
Buurt 50   Schreurserve;BU01530500;Enschede;2006;55 - 64;345
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2006;55 - 64;204
Buurt 52   Park Stokhorst;BU01530502;Enschede;2006;55 - 64;585
Buurt 53   Stokhorst;BU01530503;Enschede;2006;55 - 64;227
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2006;55 - 64;579
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2006;55 - 64;517
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2006;55 - 64;478
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2006;55 - 64;491
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2006;55 - 64;574
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2006;55 - 64;290
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2006;55 - 64;547
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2006;55 - 64;418
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2006;55 - 64;421
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2006;55 - 64;40
Buurt 71   Marssteden;BU01530701;Enschede;2006;55 - 64;12
Buurt 73   Kennispark;BU01530703;Enschede;2006;55 - 64;2
Buurt 80   Glanerveld;BU01530800;Enschede;2006;55 - 64;129
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2006;55 - 64;334
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2006;55 - 64;418
Buurt 83   Eekmaat;BU01530803;Enschede;2006;55 - 64;264
Buurt 84   Oikos;BU01530804;Enschede;2006;55 - 64;74
Buurt 85   Eilermarke;BU01530805;Enschede;2006;55 - 64;92
Buurt 86   De Slank;BU01530806;Enschede;2006;55 - 64;22
Buurt 87   Dolphia;BU01530807;Enschede;2006;55 - 64;97
Buurt 88   Eekmaat West;BU01530808;Enschede;2006;55 - 64;279
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2006;55 - 64;322
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2006;55 - 64;264
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2006;55 - 64;181
Buurt 93   Noord Esmarke;BU01530903;Enschede;2006;55 - 64;63
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2006;55 - 64;67
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2006;55 - 64;236
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2006;55 - 64;53
Buurt 97   Boekelerveld;BU01530907;Enschede;2006;55 - 64;169
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2006;55 - 64;29
Buurt XX   Buurt onbekend;BU0153XXXX;Enschede;2006;55 - 64;1
Buurt 00   City;BU01530000;Enschede;2007;55 - 64;216
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2007;55 - 64;172
Buurt 02   De Laares;BU01530002;Enschede;2007;55 - 64;104
Buurt 03   De Bothoven;BU01530003;Enschede;2007;55 - 64;668
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2007;55 - 64;318
Buurt 05   Getfert;BU01530005;Enschede;2007;55 - 64;459
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2007;55 - 64;250
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2007;55 - 64;289
Buurt 08   Boddenkamp;BU01530008;Enschede;2007;55 - 64;44
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2007;55 - 64;449
Buurt 11   Wooldrik;BU01530101;Enschede;2007;55 - 64;212
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2007;55 - 64;369
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2007;55 - 64;422
Buurt 14   Sleutelkamp;BU01530104;Enschede;2007;55 - 64;28
Buurt 15   't Weldink;BU01530105;Enschede;2007;55 - 64;11
Buurt 16   De Leuriks;BU01530106;Enschede;2007;55 - 64;7
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2007;55 - 64;125
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2007;55 - 64;434
Buurt 22   Pathmos;BU01530202;Enschede;2007;55 - 64;207
Buurt 23   Stevenfenne;BU01530203;Enschede;2007;55 - 64;475
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2007;55 - 64;228
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2007;55 - 64;327
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2007;55 - 64;198
Buurt 27   't Zwering;BU01530207;Enschede;2007;55 - 64;227
Buurt 28   Ruwenbos;BU01530208;Enschede;2007;55 - 64;97
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2007;55 - 64;592
Buurt 31   Twekkelerveld;BU01530301;Enschede;2007;55 - 64;374
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2007;55 - 64;243
Buurt 41   Bolhaar;BU01530401;Enschede;2007;55 - 64;226
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2007;55 - 64;311
Buurt 43   Mekkelholt;BU01530403;Enschede;2007;55 - 64;213
Buurt 44   Deppenbroek;BU01530404;Enschede;2007;55 - 64;473
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2007;55 - 64;169
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2007;55 - 64;67
Buurt 50   Schreurserve;BU01530500;Enschede;2007;55 - 64;346
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2007;55 - 64;214
Buurt 52   Park Stokhorst;BU01530502;Enschede;2007;55 - 64;605
Buurt 53   Stokhorst;BU01530503;Enschede;2007;55 - 64;238
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2007;55 - 64;607
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2007;55 - 64;547
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2007;55 - 64;460
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2007;55 - 64;498
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2007;55 - 64;546
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2007;55 - 64;286
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2007;55 - 64;552
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2007;55 - 64;455
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2007;55 - 64;439
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2007;55 - 64;38
Buurt 71   Marssteden;BU01530701;Enschede;2007;55 - 64;10
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2007;55 - 64;3
Buurt 73   Kennispark;BU01530703;Enschede;2007;55 - 64;2
Buurt 80   Glanerveld;BU01530800;Enschede;2007;55 - 64;130
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2007;55 - 64;358
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2007;55 - 64;431
Buurt 83   Eekmaat;BU01530803;Enschede;2007;55 - 64;251
Buurt 84   Oikos;BU01530804;Enschede;2007;55 - 64;107
Buurt 85   Eilermarke;BU01530805;Enschede;2007;55 - 64;100
Buurt 86   De Slank;BU01530806;Enschede;2007;55 - 64;24
Buurt 87   Dolphia;BU01530807;Enschede;2007;55 - 64;103
Buurt 88   Eekmaat West;BU01530808;Enschede;2007;55 - 64;283
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2007;55 - 64;312
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2007;55 - 64;273
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2007;55 - 64;185
Buurt 93   Noord Esmarke;BU01530903;Enschede;2007;55 - 64;65
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2007;55 - 64;50
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2007;55 - 64;242
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2007;55 - 64;51
Buurt 97   Boekelerveld;BU01530907;Enschede;2007;55 - 64;184
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2007;55 - 64;26
Buurt XX   Buurt onbekend;BU0153XXXX;Enschede;2007;55 - 64;1
Buurt 00   City;BU01530000;Enschede;2008;55 - 64;227
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2008;55 - 64;172
Buurt 02   De Laares;BU01530002;Enschede;2008;55 - 64;153
Buurt 03   De Bothoven;BU01530003;Enschede;2008;55 - 64;680
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2008;55 - 64;307
Buurt 05   Getfert;BU01530005;Enschede;2008;55 - 64;481
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2008;55 - 64;240
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2008;55 - 64;298
Buurt 08   Boddenkamp;BU01530008;Enschede;2008;55 - 64;43
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2008;55 - 64;445
Buurt 11   Wooldrik;BU01530101;Enschede;2008;55 - 64;201
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2008;55 - 64;370
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2008;55 - 64;420
Buurt 14   Sleutelkamp;BU01530104;Enschede;2008;55 - 64;33
Buurt 15   't Weldink;BU01530105;Enschede;2008;55 - 64;11
Buurt 16   De Leuriks;BU01530106;Enschede;2008;55 - 64;9
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2008;55 - 64;131
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2008;55 - 64;448
Buurt 22   Pathmos;BU01530202;Enschede;2008;55 - 64;225
Buurt 23   Stevenfenne;BU01530203;Enschede;2008;55 - 64;482
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2008;55 - 64;242
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2008;55 - 64;310
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2008;55 - 64;191
Buurt 27   't Zwering;BU01530207;Enschede;2008;55 - 64;219
Buurt 28   Ruwenbos;BU01530208;Enschede;2008;55 - 64;107
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2008;55 - 64;590
Buurt 31   Twekkelerveld;BU01530301;Enschede;2008;55 - 64;364
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2008;55 - 64;259
Buurt 41   Bolhaar;BU01530401;Enschede;2008;55 - 64;225
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2008;55 - 64;325
Buurt 43   Mekkelholt;BU01530403;Enschede;2008;55 - 64;199
Buurt 44   Deppenbroek;BU01530404;Enschede;2008;55 - 64;485
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2008;55 - 64;166
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2008;55 - 64;68
Buurt 50   Schreurserve;BU01530500;Enschede;2008;55 - 64;336
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2008;55 - 64;219
Buurt 52   Park Stokhorst;BU01530502;Enschede;2008;55 - 64;598
Buurt 53   Stokhorst;BU01530503;Enschede;2008;55 - 64;224
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2008;55 - 64;636
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2008;55 - 64;551
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2008;55 - 64;444
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2008;55 - 64;486
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2008;55 - 64;544
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2008;55 - 64;289
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2008;55 - 64;536
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2008;55 - 64;478
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2008;55 - 64;431
Buurt 69   het Brunink;BU01530609;Enschede;2008;55 - 64;11
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2008;55 - 64;43
Buurt 71   Marssteden;BU01530701;Enschede;2008;55 - 64;9
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2008;55 - 64;4
Buurt 80   Glanerveld;BU01530800;Enschede;2008;55 - 64;152
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2008;55 - 64;368
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2008;55 - 64;399
Buurt 83   Eekmaat;BU01530803;Enschede;2008;55 - 64;243
Buurt 84   Oikos;BU01530804;Enschede;2008;55 - 64;129
Buurt 85   Eilermarke;BU01530805;Enschede;2008;55 - 64;109
Buurt 86   De Slank;BU01530806;Enschede;2008;55 - 64;23
Buurt 87   Dolphia;BU01530807;Enschede;2008;55 - 64;96
Buurt 88   Eekmaat West;BU01530808;Enschede;2008;55 - 64;282
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2008;55 - 64;310
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2008;55 - 64;266
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2008;55 - 64;188
Buurt 93   Noord Esmarke;BU01530903;Enschede;2008;55 - 64;72
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2008;55 - 64;35
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2008;55 - 64;261
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2008;55 - 64;54
Buurt 97   Boekelerveld;BU01530907;Enschede;2008;55 - 64;217
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2008;55 - 64;28
Buurt 00   City;BU01530000;Enschede;2009;55 - 64;220
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2009;55 - 64;181
Buurt 02   De Laares;BU01530002;Enschede;2009;55 - 64;153
Buurt 03   De Bothoven;BU01530003;Enschede;2009;55 - 64;649
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2009;55 - 64;354
Buurt 05   Getfert;BU01530005;Enschede;2009;55 - 64;491
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2009;55 - 64;234
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2009;55 - 64;308
Buurt 08   Boddenkamp;BU01530008;Enschede;2009;55 - 64;37
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2009;55 - 64;450
Buurt 11   Wooldrik;BU01530101;Enschede;2009;55 - 64;189
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2009;55 - 64;365
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2009;55 - 64;423
Buurt 14   Sleutelkamp;BU01530104;Enschede;2009;55 - 64;49
Buurt 15   't Weldink;BU01530105;Enschede;2009;55 - 64;10
Buurt 16   De Leuriks;BU01530106;Enschede;2009;55 - 64;8
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2009;55 - 64;127
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2009;55 - 64;431
Buurt 22   Pathmos;BU01530202;Enschede;2009;55 - 64;225
Buurt 23   Stevenfenne;BU01530203;Enschede;2009;55 - 64;482
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2009;55 - 64;234
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2009;55 - 64;310
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2009;55 - 64;190
Buurt 27   't Zwering;BU01530207;Enschede;2009;55 - 64;227
