Gebied;Gebiedscode;Gemeente;Jaar;Leeftijdsgroep;Aantal
Buurt 44   Deppenbroek;BU01530404;Enschede;2008;0-17;885
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2008;0-17;179
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2008;0-17;64
Buurt 50   Schreurserve;BU01530500;Enschede;2008;0-17;461
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2008;0-17;393
Buurt 52   Park Stokhorst;BU01530502;Enschede;2008;0-17;762
Buurt 53   Stokhorst;BU01530503;Enschede;2008;0-17;190
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2008;0-17;781
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2008;0-17;1144
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2008;0-17;531
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2008;0-17;918
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2008;0-17;945
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2008;0-17;553
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2008;0-17;1417
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2008;0-17;1081
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2008;0-17;1086
Buurt 69   het Brunink;BU01530609;Enschede;2008;0-17;29
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2008;0-17;44
Buurt 71   Marssteden;BU01530701;Enschede;2008;0-17;15
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2008;0-17;3
Buurt 73   Kennispark;BU01530703;Enschede;2008;0-17;1
Buurt 80   Glanerveld;BU01530800;Enschede;2008;0-17;253
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2008;0-17;683
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2008;0-17;684
Buurt 83   Eekmaat;BU01530803;Enschede;2008;0-17;333
Buurt 84   Oikos;BU01530804;Enschede;2008;0-17;742
Buurt 85   Eilermarke;BU01530805;Enschede;2008;0-17;632
Buurt 86   De Slank;BU01530806;Enschede;2008;0-17;48
Buurt 87   Dolphia;BU01530807;Enschede;2008;0-17;134
Buurt 88   Eekmaat West;BU01530808;Enschede;2008;0-17;904
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2008;0-17;356
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2008;0-17;449
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2008;0-17;241
Buurt 93   Noord Esmarke;BU01530903;Enschede;2008;0-17;75
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2008;0-17;50
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2008;0-17;273
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2008;0-17;45
Buurt 97   Boekelerveld;BU01530907;Enschede;2008;0-17;158
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2008;0-17;50
Buurt 00   City;BU01530000;Enschede;2009;0-17;61
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2009;0-17;186
Buurt 02   De Laares;BU01530002;Enschede;2009;0-17;332
Buurt 03   De Bothoven;BU01530003;Enschede;2009;0-17;501
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2009;0-17;390
Buurt 05   Getfert;BU01530005;Enschede;2009;0-17;499
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2009;0-17;304
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2009;0-17;320
Buurt 08   Boddenkamp;BU01530008;Enschede;2009;0-17;51
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2009;0-17;892
Buurt 11   Wooldrik;BU01530101;Enschede;2009;0-17;257
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2009;0-17;542
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2009;0-17;756
Buurt 14   Sleutelkamp;BU01530104;Enschede;2009;0-17;99
Buurt 15   't Weldink;BU01530105;Enschede;2009;0-17;1
Buurt 16   De Leuriks;BU01530106;Enschede;2009;0-17;32
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2009;0-17;425
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2009;0-17;710
Buurt 22   Pathmos;BU01530202;Enschede;2009;0-17;426
Buurt 23   Stevenfenne;BU01530203;Enschede;2009;0-17;1002
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2009;0-17;267
